"RK","Player","Pos","Team                     Currently With","Age                     At Signing","Start                     Year","End                     Year","Yrs","Value","Average                     Salary","Average %                     % of Cap At Sign","Signing Bonus","Guarantee                     at Sign","Practical                     Guarantee","2-Year                     Cash Total","3-Year                     Cash Total"
"1","Justin Jefferson","WR","MIN                  MIN","25","2024","2028","4","$140,000,000","$35,000,000","13.70%","$36,938,000","$88,743,000","$110,000,000","$70,243,000","$95,743,000"
"2","CeeDee Lamb","WR","DAL                  DAL","25","2024","2029","4","$136,000,000","$34,000,000","13.31%","$38,000,000","$67,000,000","$100,000,000","$67,007,560","$93,007,560"
"3","Amon-Ra St. Brown","WR","DET                  DET","24","2024","2028","4","$120,010,000","$30,002,500","11.75%","$16,500,000","$34,666,000","$77,000,000","$35,276,000","$63,386,000"
"4","Brandon Aiyuk","WR","SF                  SF","26","2024","2028","4","$120,000,000","$30,000,000","11.75%","$23,000,000","$45,000,000","$76,000,000","$48,906,300","$75,906,300"
"5","D.J. Moore","WR","CHI                  CHI","27","2024","2029","4","$110,000,000","$27,500,000","10.77%","$20,000,000","$43,650,000","$81,525,000","$44,281,460","$68,781,460"
"6","A.J. Brown","WR","PHI                  PHI","26","2024","2029","3","$96,000,000","$32,000,000","12.53%","$19,875,000","$51,000,000","$84,000,000","$51,000,000","$80,000,000"
"7","Calvin Ridley","WR","TEN                  TEN","29","2024","2027","4","$92,000,000","$23,000,000","9.01%","$20,000,000","$46,980,000","$50,000,000","$48,007,560","$69,757,560"
"8","Tyreek Hill","WR","MIA                  MIA","30","2024","2026","3","$90,000,000","$30,000,000","11.75%","$7,000,000","$54,000,000","$59,000,000","$54,100,000","$90,100,000"
"9","Jaylen Waddle","WR","MIA                  MIA","25","2024","2028","3","$84,750,000","$28,250,000","11.06%","$18,873,000","$35,978,000","$76,000,000","$36,082,834","$53,323,834"
"10","DeVonta Smith","WR","PHI                  PHI","25","2024","2028","3","$75,000,000","$25,000,000","9.79%","$20,351,000","$33,997,554","$51,000,000","$34,000,074","$48,000,074"
"11","Nico Collins","WR","HOU                  HOU","25","2024","2027","3","$72,750,000","$24,250,000","9.49%","$17,000,000","$32,116,000","$52,116,000","$33,191,005","$54,066,010"
"12","Jerry Jeudy","WR","CLE                  CLE","24","2024","2027","3","$52,500,000","$17,500,000","6.85%","$6,013,000","$41,000,000","$41,000,000","$35,241,844","$48,728,844"
"13","Mike Evans","WR","TB                  TB","30","2024","2025","2","$41,000,000","$20,500,000","8.03%","","$29,000,000","$35,000,000","$44,666,668","$44,666,668"
"14","Darnell Mooney","WR","ATL                  ATL","26","2024","2026","3","$39,000,000","$13,000,000","5.09%","$15,000,000","$26,000,000","$26,000,000","$27,171,276","$39,151,276"
"15","Curtis Samuel","WR","BUF                  BUF","27","2024","2026","3","$24,000,000","$8,000,000","3.13%","$6,900,000","$14,020,000","$15,020,000","$15,988,441","$23,988,441"
"16","Jauan Jennings","WR","SF                  SF","26","2024","2025","2","$11,890,000","$5,945,000","2.33%","$6,210,000","$8,435,000","$8,435,000","$15,396,300","$15,396,300"
"17","Rashid Shaheed","WR","NO                  NO","25","2024","2025","1","$5,200,000","$5,200,000","2.04%","$1,000,000","$1,000,000","$1,000,000","$6,193,820","$6,193,820"
"18","Ray-Ray McCloud","WR","ATL                  ATL","27","2024","2025","2","$5,000,000","$2,500,000","0.98%","$1,000,000","$2,125,000","$2,125,000","$6,723,580","$6,723,580"
"19","Xavier Weaver","WR","ARI                  ARI","23","2024","2026","3","$2,860,000","$953,333","0.37%","$30,000","$255,000","$255,000","$1,848,329","$2,923,329"
"T20","Kameron Johnson","WR","TB                  TB","22","2024","2026","3","$2,840,000","$946,667","0.37%","$10,000","$10,000","$10,000","$1,611,323","$2,686,323"
"T20","Mason Tipton","WR","NO                  NO","23","2024","2026","3","$2,840,000","$946,667","0.37%","$10,000","$110,000","$110,000","$1,775,080","$2,850,080"
"22","Brandon Powell","WR","MIN                  MIN","27","2024","2024","1","$2,000,000","$2,000,000","0.78%","$375,000","$625,000","$625,000","$1,977,941","$1,977,941"
"23","Deonte Harty","WR","BAL                  BAL","26","2024","2024","1","$1,292,500","$1,292,500","0.51%","$167,500","$1,152,500","$1,152,500","$1,313,439","$1,313,439"
"24","Nsimba Webster","WR","CHI                  CHI","27","2024","2024","1","$1,055,000","$1,055,000","0.41%","","","","$545,000","$545,000"

