player,year,pos,college,dob,age_season_start,height,weight,years_exp,team,games_played,games_started,rec_tgt,rec,rec_yds,rec_td,fpts_standard,stats_rank
justin jefferson,2022,WR,LSU,1999-06-16,23.22739726027397,73,195,2,['MIN'],17,17,184,128,1809,8,237.3,1.0
justin jefferson,2023,WR,LSU,1999-06-16,24.22739726027397,73,195,3,['MIN'],10,9,100,68,1074,5,135.2,24.0
justin jefferson,2024,WR,LSU,1999-06-16,25.23013698630137,73,195,4,['MIN'],17,17,154,103,1533,10,212.6,1.0
ceedee lamb,2022,WR,Oklahoma,1999-04-08,23.416438356164385,74,200,2,['DAL'],17,17,156,107,1359,9,194.6,6.0
ceedee lamb,2023,WR,Oklahoma,1999-04-08,24.416438356164385,74,200,3,['DAL'],17,17,181,135,1749,12,267.20000000000005,1.0
ceedee lamb,2024,WR,Oklahoma,1999-04-08,25.41917808219178,74,200,4,['DAL'],15,15,152,101,1194,6,161.4,7.0
amon-ra st brown,2022,WR,USC,1999-10-24,22.87123287671233,72,202,1,['DET'],16,16,146,106,1161,6,161.6,9.0
amon-ra st brown,2023,WR,USC,1999-10-24,23.87123287671233,72,202,2,['DET'],16,16,164,119,1515,10,212.9,3.0
amon-ra st brown,2024,WR,USC,1999-10-24,24.873972602739727,72,202,3,['DET'],17,17,141,115,1263,12,197.9,2.0
brandon aiyuk,2022,WR,Arizona St.,1998-03-17,24.476712328767125,72,200,2,['SF'],17,17,114,78,1015,8,150.8,14.0
brandon aiyuk,2023,WR,Arizona St.,1998-03-17,25.476712328767125,72,200,3,['SF'],16,16,105,75,1342,7,175.2,9.0
brandon aiyuk,2024,WR,Arizona St.,1998-03-17,26.47945205479452,72,200,4,['SF'],7,7,47,25,374,0,37.4,92.0
dj moore,2022,WR,Maryland,1997-04-14,25.4,71,210,4,['CAR'],17,17,118,63,888,7,136.1,19.0
dj moore,2023,WR,Maryland,1997-04-14,26.4,71,210,5,['CHI'],17,17,136,96,1364,8,191.5,6.0
dj moore,2024,WR,Maryland,1997-04-14,27.4027397260274,71,210,6,['CHI'],17,17,140,98,966,6,139.1,19.0
aj brown,2022,WR,Mississippi,1997-06-30,25.18904109589041,73,226,3,['PHI'],17,16,146,88,1496,11,213.6,4.0
aj brown,2023,WR,Mississippi,1997-06-30,26.18904109589041,73,226,4,['PHI'],17,17,158,106,1456,7,185.6,7.0
aj brown,2024,WR,Mississippi,1997-06-30,27.19178082191781,73,226,5,['PHI'],13,13,97,67,1079,7,149.9,14.0
calvin ridley,2023,WR,Alabama,1994-12-20,28.71780821917808,73,190,5,['JAX'],17,17,136,76,1016,8,150.89999999999998,16.0
calvin ridley,2024,WR,Alabama,1994-12-20,29.72054794520548,73,190,6,['TEN'],17,14,120,64,1017,4,136.2,21.0
tyreek hill,2022,WR,"Garden City (KS),Oklahoma St.,West Alabama",1994-03-01,28.523287671232875,70,191,6,['MIA'],17,17,170,119,1710,7,227.2,3.0
tyreek hill,2023,WR,"Garden City (KS),Oklahoma St.,West Alabama",1994-03-01,29.523287671232875,70,191,7,['MIA'],16,16,171,119,1799,13,258.4,2.0
tyreek hill,2024,WR,"Garden City (KS),Oklahoma St.,West Alabama",1994-03-01,30.526027397260275,70,191,8,['MIA'],17,17,123,81,959,6,137.2,20.0
